Jogador,Equipa_CSV,Jogador_Sofascore,Equipa_Sofascore,Foto_Jogador_URL,Escudo_Clube_URL,Liga,Pais_Liga,Logo_Liga_URL,Match_Score,Qualidade_Match
Pedro Igor,Botev Plovdiv,Pedro Igor,Botev Plovdiv,https://api.sofascore.com/api/v1/player/1117097/image,https://api.sofascore.com/api/v1/team/5241/image,Parva Liga,Bulgaria,https://api.sofascore.com/api/v1/unique-tournament/247/image,1.0,ALTA
Pedro Lucas,Olimpija,Pedro Lucas,NK Olimpija Ljubljana,https://api.sofascore.com/api/v1/player/973750/image,https://api.sofascore.com/api/v1/team/2416/image,PrvaLiga,Slovenia,https://api.sofascore.com/api/v1/unique-tournament/212/image,0.91,ALTA
Pedro Martins,Sport Recife,Pedro Victor Martins,Sport Recife,https://api.sofascore.com/api/v1/player/1106488/image,https://api.sofascore.com/api/v1/team/1959/image,Brasileirão Série B,Brazil,https://api.sofascore.com/api/v1/unique-tournament/390/image,0.96,ALTA
Pedro Medeiros,AD Marco 09,Pedro Medeiros,Ceilandense,https://api.sofascore.com/api/v1/player/1545654/image,https://api.sofascore.com/api/v1/team/336674/image,Brasiliense,Brazil,https://api.sofascore.com/api/v1/unique-tournament/11682/image,0.4,BAIXA_REVISAR
Pedro Naressi,Ludogorets,Pedro Naressi,Ludogorets,https://api.sofascore.com/api/v1/player/872390/image,https://api.sofascore.com/api/v1/team/43840/image,Parva Liga,Bulgaria,https://api.sofascore.com/api/v1/unique-tournament/247/image,1.0,ALTA
Pedro Raul,Corinthians,Pedro Raul,Corinthians,https://api.sofascore.com/api/v1/player/866911/image,https://api.sofascore.com/api/v1/team/1957/image,Brasileirão Betano,Brazil,https://api.sofascore.com/api/v1/unique-tournament/325/image,1.0,ALTA
Pedro Rocha,Coritiba,Pedro Rocha,Coritiba,https://api.sofascore.com/api/v1/player/794930/image,https://api.sofascore.com/api/v1/team/1982/image,Brasileirão Betano,Brazil,https://api.sofascore.com/api/v1/unique-tournament/325/image,1.0,ALTA
Pedro Romano,Vila Nova,Pedro Romano,Vila Nova FC,https://api.sofascore.com/api/v1/player/1417920/image,https://api.sofascore.com/api/v1/team/2021/image,Brasileirão Série B,Brazil,https://api.sofascore.com/api/v1/unique-tournament/390/image,0.91,ALTA
Pedro Soma,San Diego,Pedro Soma,San Diego FC,https://api.sofascore.com/api/v1/player/1469018/image,https://api.sofascore.com/api/v1/team/1043961/image,MLS,USA,https://api.sofascore.com/api/v1/unique-tournament/242/image,0.91,ALTA
Pedro Venaque,Torreense,Pedro Henrique Venaque Barbosa,Torreense,https://api.sofascore.com/api/v1/player/1885495/image,https://api.sofascore.com/api/v1/team/25787/image,Liga Portugal 2,Portugal,https://api.sofascore.com/api/v1/unique-tournament/239/image,0.94,ALTA
